Log(E/eV)	Log(R/pc)	Syn	ICIR	IC	Dif	Acc	Adia
11.2632	0.689655	-7.26759	-10.3985	-10.7021	-17.3063	-1.27541	-7.87889
11.7895	0.689655	-6.74127	-10.1775	-10.8769	-16.78	-1.80172	-7.87889
12.3158	0.689655	-6.21496	-10.1719	-11.2002	-16.2536	-2.32804	-7.87889
12.8421	0.689655	-5.68864	-10.3849	-11.6294	-15.7273	-2.85435	-7.87889
13.3684	0.689655	-5.16232	-10.7669	-12.1228	-15.201	-3.38067	-7.87889
13.8947	0.689655	-4.63601	-11.2454	-12.6483	-14.6747	-3.90699	-7.87889
14.4211	0.689655	-4.10969	-11.7663	-13.1868	-14.1484	-4.4333	-7.87889
14.9474	0.689655	-3.58338	-12.3031	-13.73	-13.6221	-4.95962	-7.87889
15.4737	0.689655	-3.05706	-12.8452	-14.2746	-13.0958	-5.48593	-7.87889
16	0.689655	-2.53074	-13.3889	-14.8194	-12.5694	-6.01225	-7.87889
6	0.758621	-12.6687	-15.2157	-14.4191	-22.6384	3.91879	-7.94785
6.52632	0.758621	-12.1424	-14.6361	-13.8398	-22.1121	3.39247	-7.94785
7.05263	0.758621	-11.616	-14.1391	-13.3437	-21.5858	2.86615	-7.94785
7.57895	0.758621	-11.0897	-13.652	-12.8595	-21.0595	2.33984	-7.94785
8.10526	0.758621	-10.5634	-13.1657	-12.3827	-20.5331	1.81352	-7.94785
8.63158	0.758621	-10.0371	-12.6787	-11.9247	-20.0068	1.28721	-7.94785
9.15789	0.758621	-9.51078	-12.1911	-11.5109	-19.4805	0.76089	-7.94785
9.68421	0.758621	-8.98447	-11.7048	-11.1618	-18.9542	0.234575	-7.94785
10.2105	0.758621	-8.45815	-11.2261	-10.8795	-18.4279	-0.291741	-7.94785
10.7368	0.758621	-7.93183	-10.7745	-10.706	-17.9016	-0.818057	-7.94785
11.2632	0.758621	-7.40552	-10.3985	-10.7021	-17.3752	-1.34437	-7.94785
11.7895	0.758621	-6.8792	-10.1775	-10.8769	-16.8489	-1.87069	-7.94785
12.3158	0.758621	-6.35289	-10.1719	-11.2002	-16.3226	-2.397	-7.94785
12.8421	0.758621	-5.82657	-10.3849	-11.6294	-15.7963	-2.92332	-7.94785
13.3684	0.758621	-5.30025	-10.7669	-12.1228	-15.27	-3.44964	-7.94785
13.8947	0.758621	-4.77394	-11.2454	-12.6483	-14.7437	-3.97595	-7.94785
14.4211	0.758621	-4.24762	-11.7663	-13.1868	-14.2173	-4.50227	-7.94785
14.9474	0.758621	-3.72131	-12.3031	-13.73	-13.691	-5.02858	-7.94785
15.4737	0.758621	-3.19499	-12.8452	-14.2746	-13.1647	-5.5549	-7.94785
16	0.758621	-2.66868	-13.3889	-14.8194	-12.6384	-6.08121	-7.94785
6	0.827586	-12.8066	-15.2157	-14.4191	-22.7074	3.84982	-8.01682
6.52632	0.827586	-12.2803	-14.6361	-13.8398	-22.1811	3.3235	-8.01682
