Log(E/eV)	z [pc]	tobs [yr]	Synchr	IC	IC - IR	Esc	Acc	Ad
12.5657	10.3339	0.285705	-7.91534	-12.0309	-9.22502	-8.20561	-3.55303	-9.03031
12.6667	10.3339	0.285705	-7.81433	-12.1235	-9.21144	-8.20561	-3.65404	-9.03031
12.7677	10.3339	0.285705	-7.71332	-12.2177	-9.2055	-8.20561	-3.75505	-9.03031
12.8687	10.3339	0.285705	-7.61231	-12.3134	-9.20717	-8.20561	-3.85606	-9.03031
12.9697	10.3339	0.285705	-7.5113	-12.4104	-9.21632	-8.20561	-3.95707	-9.03031
13.0707	10.3339	0.285705	-7.41029	-12.5085	-9.2328	-8.20561	-4.05808	-9.03031
13.1717	10.3339	0.285705	-7.30928	-12.6075	-9.25639	-8.20561	-4.15909	-9.03031
13.2727	10.3339	0.285705	-7.20827	-12.7074	-9.28683	-8.20561	-4.2601	-9.03031
13.3737	10.3339	0.285705	-7.10726	-12.808	-9.32384	-8.20561	-4.36111	-9.03031
13.4747	10.3339	0.285705	-7.00625	-12.9092	-9.36707	-8.20561	-4.46212	-9.03031
13.5758	10.3339	0.285705	-6.90524	-13.011	-9.4162	-8.20561	-4.56313	-9.03031
13.6768	10.3339	0.285705	-6.80423	-13.1132	-9.47085	-8.20561	-4.66414	-9.03031
13.7778	10.3339	0.285705	-6.70322	-13.2157	-9.53065	-8.20561	-4.76515	-9.03031
13.8788	10.3339	0.285705	-6.60221	-13.3186	-9.59522	-8.20561	-4.86616	-9.03031
13.9798	10.3339	0.285705	-6.5012	-13.4217	-9.66418	-8.20561	-4.96717	-9.03031
14.0808	10.3339	0.285705	-6.40019	-13.525	-9.73716	-8.20561	-5.06818	-9.03031
14.1818	10.3339	0.285705	-6.29918	-13.6285	-9.81381	-8.20561	-5.16919	-9.03031
14.2828	10.3339	0.285705	-6.19817	-13.7321	-9.89379	-8.20561	-5.2702	-9.03031
14.3838	10.3339	0.285705	-6.09716	-13.8358	-9.97675	-8.20561	-5.37121	-9.03031
14.4848	10.3339	0.285705	-5.99615	-13.9396	-10.0624	-8.20561	-5.47222	-9.03031
14.5859	10.3339	0.285705	-5.89514	-14.0435	-10.1505	-8.20561	-5.57323	-9.03031
14.6869	10.3339	0.285705	-5.79413	-14.1474	-10.2407	-8.20561	-5.67424	-9.03031
14.7879	10.3339	0.285705	-5.69312	-14.2514	-10.3328	-8.20561	-5.77525	-9.03031
14.8889	10.3339	0.285705	-5.5921	-14.3554	-10.4265	-8.20561	-5.87626	-9.03031
14.9899	10.3339	0.285705	-5.49109	-14.4595	-10.5218	-8.20561	-5.97727	-9.03031
15.0909	10.3339	0.285705	-5.39008	-14.5635	-10.6183	-8.20561	-6.07828	-9.03031
15.1919	10.3339	0.285705	-5.28907	-14.6676	-10.7159	-8.20561	-6.17929	-9.03031
15.2929	10.3339	0.285705	-5.18806	-14.7717	-10.8145	-8.20561	-6.2803	-9.03031
15.3939	10.3339	0.285705	-5.08705	-14.8757	-10.914	-8.20561	-6.38131	-9.03031
15.4949	10.3339	0.285705	-4.98604	-14.9798	-11.0141	-8.20561	-6.48232	-9.03031
15.596	10.3339	0.285705	-4.88503	-15.0839	-11.1149	-8.20561	-6.58333	-9.03031
15.697	10.3339	0.285705	-4.78402	-15.1879	-11.2161	-8.20561	-6.68434	-9.03031
15.798	10.3339	0.285705	-4.68301	-15.292	-11.3178	-8.20561	-6.78535	-9.03031
15.899	10.3339	0.285705	-4.582	-15.3961	-11.4199	-8.20561	-6.88636	-9.03031
16	10.3339	0.285705	-4.48099	-15.5001	-11.5222	-8.20561	-6.98737	-9.03031
6	10.679	0.363847	-14.5095	-14.7679	-15.0663	-8.4872	2.99836	-8.95294
6.10101	10.679	0.363847	-14.4085	-14.6356	-14.934	-8.4872	2.89735	-8.95294
6.20202	10.679	0.363847	-14.3075	-14.5159	-14.8143	-8.4872	2.79634	-8.95294
6.30303	10.679	0.363847	-14.2065	-14.404	-14.7024	-8.4872	2.69533	-8.95294
6.40404	10.679	0.363847	-14.1055	-14.2971	-14.5955	-8.4872	2.59432	-8.95294
6.50505	10.679	0.363847	-14.0045	-14.1935	-14.4919	-8.4872	2.49331	-8.95294
6.60606	10.679	0.363847	-13.9035	-14.092	-14.3903	-8.4872	2.3923	-8.95294
6.70707	10.679	0.363847	-13.8025	-13.9919	-14.2902	-8.4872	2.29129	-8.95294
6.80808	10.679	0.363847	-13.7014	-13.8928	-14.191	-8.4872	2.19028	-8.95294
6.90909	10.679	0.363847	-13.6004	-13.7943	-14.0925	-8.4872	2.08927	-8.95294
7.0101	10.679	0.363847	-13.4994	-13.6963	-13.9944	-8.4872	1.98826	-8.95294
7.11111	10.679	0.363847	-13.3984	-13.5987	-13.8967	-8.4872	1.88725	-8.95294
7.21212	10.679	0.363847	-13.2974	-13.5013	-13.7992	-8.4872	1.78624	-8.95294
7.31313	10.679	0.363847	-13.1964	-13.4042	-13.702	-8.4872	1.68523	-8.95294
7.41414	10.679	0.363847	-13.0954	-13.3072	-13.6049	-8.4872	1.58422	-8.95294
7.51515	10.679	0.363847	-12.9944	-13.2105	-13.5079	-8.4872	1.48321	-8.95294
7.61616	10.679	0.363847	-12.8934	-13.1139	-13.411	-8.4872	1.3822	-8.95294
7.71717	10.679	0.363847	-12.7924	-13.0174	-13.3142	-8.4872	1.28119	-8.95294
7.81818	10.679	0.363847	-12.6913	-12.9212	-13.2175	-8.4872	1.18018	-8.95294
7.91919	10.679	0.363847	-12.5903	-12.8251	-13.1209	-8.4872	1.07917	-8.95294
8.0202	10.679	0.363847	-12.4893	-12.7292	-13.0243	-8.4872	0.978159	-8.95294
8.12121	10.679	0.363847	-12.3883	-12.6335	-12.9277	-8.4872	0.877149	-8.95294
8.22222	10.679	0.363847	-12.2873	-12.5381	-12.8312	-8.4872	0.776139	-8.95294
8.32323	10.679	0.363847	-12.1863	-12.443	-12.7348	-8.4872	0.675129	-8.95294
8.42424	10.679	0.363847	-12.0853	-12.3483	-12.6384	-8.4872	0.574119	-8.95294
8.52525	10.679	0.363847	-11.9843	-12.2541	-12.5419	-8.4872	0.473109	-8.95294
8.62626	10.679	0.363847	-11.8833	-12.1604	-12.4456	-8.4872	0.372099	-8.95294
8.72727	10.679	0.363847	-11.7823	-12.0675	-12.3492	-8.4872	0.271089	-8.95294
8.82828	10.679	0.363847	-11.6812	-11.9754	-12.2528	-8.4872	0.170079	-8.95294
8.92929	10.679	0.363847	-11.5802	-11.8844	-12.1565	-8.4872	0.0690685	-8.95294
9.0303	10.679	0.363847	-11.4792	-11.7947	-12.0602	-8.4872	-0.0319416	-8.95294
9.13131	10.679	0.363847	-11.3782	-11.7066	-11.9639	-8.4872	-0.132952	-8.95294
9.23232	10.679	0.363847	-11.2772	-11.6203	-11.8676	-8.4872	-0.233962	-8.95294
9.33333	10.679	0.363847	-11.1762	-11.5365	-11.7713	-8.4872	-0.334972	-8.95294
9.43434	10.679	0.363847	-11.0752	-11.4553	-11.675	-8.4872	-0.435982	-8.95294
9.53535	10.679	0.363847	-10.9742	-11.3773	-11.5787	-8.4872	-0.536992	-8.95294
9.63636	10.679	0.363847	-10.8732	-11.3031	-11.4825	-8.4872	-0.638002	-8.95294
9.73737	10.679	0.363847	-10.7721	-11.2332	-11.3864	-8.4872	-0.739012	-8.95294
9.83838	10.679	0.363847	-10.6711	-11.168	-11.2902	-8.4872	-0.840022	-8.95294
9.93939	10.679	0.363847	-10.5701	-11.1083	-11.1942	-8.4872	-0.941033	-8.95294
10.0404	10.679	0.363847	-10.4691	-11.0543	-11.0982	-8.4872	-1.04204	-8.95294
10.1414	10.679	0.363847	-10.3681	-11.0067	-11.0023	-8.4872	-1.14305	-8.95294
10.2424	10.679	0.363847	-10.2671	-10.9658	-10.9066	-8.4872	-1.24406	-8.95294
10.3434	10.679	0.363847	-10.1661	-10.9319	-10.8111	-8.4872	-1.34507	-8.95294
10.4444	10.679	0.363847	-10.0651	-10.9052	-10.7158	-8.4872	-1.44608	-8.95294
10.5455	10.679	0.363847	-9.96407	-10.8859	-10.6208	-8.4872	-1.54709	-8.95294
10.6465	10.679	0.363847	-9.86306	-10.874	-10.5262	-8.4872	-1.6481	-8.95294
10.7475	10.679	0.363847	-9.76205	-10.8697	-10.4321	-8.4872	-1.74911	-8.95294
10.8485	10.679	0.363847	-9.66104	-10.8728	-10.3385	-8.4872	-1.85012	-8.95294
10.9495	10.679	0.363847	-9.56003	-10.8833	-10.2458	-8.4872	-1.95113	-8.95294
11.0505	10.679	0.363847	-9.45902	-10.901	-10.154	-8.4872	-2.05214	-8.95294
11.1515	10.679	0.363847	-9.35801	-10.9256	-10.0633	-8.4872	-2.15315	-8.95294
11.2525	10.679	0.363847	-9.257	-10.957	-9.97405	-8.4872	-2.25416	-8.95294
11.3535	10.679	0.363847	-9.15599	-10.9948	-9.88656	-8.4872	-2.35517	-8.95294
11.4545	10.679	0.363847	-9.05498	-11.0388	-9.80118	-8.4872	-2.45618	-8.95294
11.5556	10.679	0.363847	-8.95397	-11.0886	-9.71833	-8.4872	-2.55719	-8.95294
11.6566	10.679	0.363847	-8.85296	-11.1438	-9.63848	-8.4872	-2.6582	-8.95294
