log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
6.78492	53.5563	531.989	36.4225	36.9065	38.3862	33.9279	38.4049
7.01724	53.5563	531.989	33.9493	37.0592	38.492	34.0442	38.5077
7.24957	53.5563	531.989	29.5077	37.1824	38.639	34.1548	38.6539
7.48189	53.5563	531.989	21.7053	37.3031	38.6917	34.2685	38.7092
7.71421	53.5563	531.989	8.1646	37.3985	38.8554	34.3757	38.8704
7.94654	53.5563	531.989	-15.1732	37.5228	38.9655	34.4896	38.9809
8.17886	53.5563	531.989	-55.2382	37.5856	39.1235	34.5873	39.1359
8.41118	53.5563	531.989	-123.862	37.6962	39.1861	34.6995	39.2
8.64351	53.5563	531.989	-241.247	37.7742	39.3089	34.8133	39.3214
8.87583	53.5563	531.989	0	37.9134	39.4454	34.9082	39.458
9.10815	53.5563	531.989	0	37.9769	39.5399	35.0227	39.5516
9.34048	53.5563	531.989	0	38.0346	39.6865	35.129	39.6961
9.5728	53.5563	531.989	0	38.0978	39.7389	35.2166	39.7487
9.80512	53.5563	531.989	0	38.1784	39.885	35.3278	39.8935
10.0374	53.5563	531.989	0	38.1162	39.9988	35.4376	40.0044
10.2698	53.5563	531.989	0	38.2551	40.1527	35.5219	40.1582
10.5021	53.5563	531.989	0	38.1696	40.198	35.6327	40.2021
10.7344	53.5563	531.989	0	38.3104	40.2909	35.7325	40.2954
10.9667	53.5563	531.989	0	38.2146	40.4294	35.7938	40.4321
11.1991	53.5563	531.989	0	38.1835	40.4545	35.9272	40.4569
11.4314	53.5563	531.989	0	37.9135	40.5397	36.004	40.5408
11.6637	53.5563	531.989	0	37.7702	40.6001	36.0704	40.6007
11.896	53.5563	531.989	0	38.123	40.6899	36.1746	40.6911
12.1284	53.5563	531.989	0	37.2578	40.6486	36.1735	40.6488
12.3607	53.5563	531.989	0	37.0785	40.7199	36.3382	40.72
12.593	53.5563	531.989	0	37.3819	40.638	36.3034	40.6383
12.8253	53.5563	531.989	0	37.4906	40.7421	36.3734	40.7423
13.0576	53.5563	531.989	0	36.3063	40.6106	36.4425	40.6107
13.29	53.5563	531.989	0	36.5501	40.8063	36.3503	40.8064
13.5223	53.5563	531.989	0	36.4929	40.6994	36.4127	40.6995
13.7546	53.5563	531.989	0	35.4125	39.9612	36.3251	39.9613
13.9869	53.5563	531.989	0	35.5736	40.1207	36.1429	40.1208
14.2193	53.5563	531.989	0	35.3384	39.8882	36.0327	39.8882
14.4516	53.5563	531.989	0	35.9937	40.4066	35.706	40.4066
14.6839	53.5563	531.989	0	33.5566	38.1827	34.9225	38.1829
14.9162	53.5563	531.989	0	0	0	0	0
15.1486	53.5563	531.989	0	0	0	0	0
15.3809	53.5563	531.989	0	0	0	0	0
15.6132	53.5563	531.989	0	0	0	0	0
15.8455	53.5563	531.989	0	0	0	0	0
16.0779	53.5563	531.989	0	0	0	0	0
16.3102	53.5563	531.989	0	0	0	0	0
16.5425	53.5563	531.989	0	0	0	0	0
16.7748	53.5563	531.989	0	0	0	0	0
17.0071	53.5563	531.989	0	0	0	0	0
-5.98974	55.4283	653.831	34.6145	0	0	0	34.6145
-5.75742	55.4283	653.831	34.7294	0	0	24.0374	34.7294
-5.52509	55.4283	653.831	34.8493	0	0	24.6387	34.8493
-5.29277	55.4283	653.831	34.9624	0	0	25.1226	34.9624
-5.06045	55.4283	653.831	35.0774	0	0	25.5589	35.0774
-4.82813	55.4283	653.831	35.1989	0	0	25.9625	35.1989
-4.5958	55.4283	653.831	35.3134	0	0	26.333	35.3134
-4.36348	55.4283	653.831	35.427	0	0	26.6427	35.427
-4.13116	55.4283	653.831	35.5466	0	0	26.9337	35.5466
-3.89883	55.4283	653.831	35.6599	0	0	27.2082	35.6599
-3.66651	55.4283	653.831	35.7722	0	24.4498	27.4542	35.7722
